ID,Loại,Tỉnh,lat,lng
1,TỈNH,An Giang,10.3895215,105.4342651
2,TỈNH,Bến Tre,10.1081553,106.4405872
3,TỈNH,Bình Định,13.7689349,109.2272082
4,TỈNH,Bình Dương,11.0566848,106.6828217
5,TỈNH,Bình Thuận,10.9272441,108.101705
6,TỈNH,Cà Mau,8.9624099,105.1258955
7,THÀNH PHỐ,Cần Thơ,10.0370802,105.7882356
8,THÀNH PHỐ,Đà Nẵng,16.0705332,108.2249991
9,TỈNH,Đắk Lắk,12.6741808,108.0434072
10,TỈNH,Đồng Nai,10.9455718,106.8177108
11,TỈNH,Gia Lai,13.9794282,108.0018157
12,TỈNH,Hà Giang,22.8273297,104.9835397
13,THÀNH PHỐ,Hà Nội,21.0282935,105.8542103
14,THÀNH PHỐ,Hồ Chí Minh,10.776561,106.700972
15,TỈNH,Khánh Hoà,12.2560011,109.1969333
16,TỈNH,Lai Châu,22.3893113,103.4763569
17,TỈNH,Long An,10.5412036,106.4138805
18,TỈNH,Nghệ An,18.672948,105.6929106
19,TỈNH,Ninh Bình,20.258106,105.9767814
20,TỈNH,Quảng Bình,17.462758,106.252214
21,TỈNH,Quảng Ninh,20.9424146,107.1235429
22,TỈNH,Sơn La,21.3309847,103.9094656
23,TỈNH,Tây Ninh,11.3141616,106.093802
24,TỈNH,Thanh Hoá,19.807286,105.775165
25,TỈNH,Tuyên Quang,21.8222899,105.2171839
